,epoch,PE_15850,vix_close,CE_15900,PE_15800,CE_15950,PE_15750,CE_16000,PE_15700,CE_16050,PE_15650,CE_16100,PE_15600,CE_16150,PE_15550,CE_16200,PE_15500,CE_16250,PE_15450,CE_16300,PE_15400,CE_16350,PE_15350,CE_16400,PE_15300,CE_16450,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume
20,1656302700,110.7,20.97,145.15,91.85,119.2,75.95,96.45,62.75,76.25,51.85,59.1,43.1,44.85,35.5,33.7,29.45,24.65,24.3,18.0,20.25,13.15,16.85,9.6,14.1,7.25,15916.05,15916.05,15910.25,15910.3,0
21,1656302760,105.15,20.92,153.65,87.3,126.95,72.05,103.2,59.55,81.9,49.4,63.9,41.05,49.0,33.9,37.0,28.2,27.2,23.2,20.0,19.45,14.45,16.2,10.6,13.75,7.85,15910.0,15923.9,15907.95,15923.9,0
22,1656302820,107.9,20.94,149.0,89.85,122.8,74.3,99.25,61.55,78.8,51.1,61.25,42.25,46.15,35.0,34.85,29.05,25.6,23.9,18.8,20.05,13.7,16.65,9.95,14.05,7.4,15922.65,15922.85,15915.05,15917.9,0
23,1656302880,109.8,20.99,147.1,91.15,120.75,74.9,97.8,61.75,76.75,51.45,59.65,42.5,45.5,35.05,34.0,29.15,25.1,24.0,18.3,20.2,13.3,16.8,9.7,14.1,7.25,15917.85,15918.4,15911.5,15913.8,0
24,1656302940,113.35,20.96,142.6,94.0,117.25,77.85,94.65,64.35,74.9,53.2,58.05,44.2,44.1,36.2,33.1,30.15,24.35,24.75,17.7,20.65,12.8,17.2,9.35,14.45,7.05,15913.15,15913.6,15904.95,15904.95,0
25,1656303000,114.2,20.91,140.45,94.75,115.3,78.45,93.35,64.9,73.7,53.85,57.15,44.6,43.4,36.9,32.6,30.55,23.9,25.25,17.4,21.0,12.65,17.4,9.3,14.45,6.95,15904.1,15904.1,15890.05,15897.6,0
26,1656303060,113.35,20.94,144.05,93.55,118.5,77.75,95.7,64.25,75.6,53.3,58.8,44.35,44.8,36.6,33.6,30.35,24.8,24.95,18.1,21.0,12.95,17.3,9.4,14.5,7.0,15898.35,15912.65,15898.35,15905.1,0
27,1656303120,111.85,20.98,144.2,92.8,118.55,76.5,95.9,63.45,76.6,52.4,59.4,43.6,45.1,36.1,33.9,30.0,24.95,24.65,18.25,20.6,13.2,16.95,9.55,14.3,7.0,15905.8,15908.95,15900.95,15907.3,0
28,1656303180,110.75,20.97,145.9,91.95,119.4,75.75,96.85,62.6,76.35,52.0,59.45,43.15,45.25,35.45,34.0,29.55,25.1,24.3,18.25,20.3,13.2,16.85,9.55,14.05,7.0,15907.35,15917.0,15906.65,15911.45,0
29,1656303240,111.5,21.02,144.65,92.65,118.55,76.15,95.75,63.45,75.9,52.25,58.75,43.2,44.65,35.6,33.4,29.55,24.6,24.4,17.85,20.3,12.9,16.8,9.3,14.15,6.9,15911.55,15913.45,15907.1,15910.15,0
