,epoch,PE_16100,vix_close,CE_16150,PE_16050,CE_16200,PE_16000,CE_16250,PE_15950,CE_16300,PE_15900,CE_16350,PE_15850,CE_16400,PE_15800,CE_16450,PE_15750,CE_16500,PE_15700,CE_16550,PE_15650,CE_16600,PE_15600,CE_16650,PE_15550,CE_16700,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume
38,1657686180,70.4,18.2,67.05,50.3,46.7,35.55,31.15,24.65,19.8,16.5,11.95,10.9,7.2,7.3,4.25,4.8,2.65,3.45,1.65,2.65,1.35,2.1,1.15,1.7,1.05,16120.45,16123.0,16120.2,16122.65,0
39,1657686240,70.65,18.19,66.45,50.3,46.1,35.5,30.75,24.35,19.5,16.45,11.8,10.85,7.05,7.25,4.15,4.85,2.55,3.5,1.6,2.65,1.3,2.1,1.15,1.7,1.0,16122.45,16123.45,16118.85,16121.5,0
40,1657686300,71.9,18.2,64.95,51.5,45.0,36.35,29.95,24.95,18.95,16.8,11.35,11.15,6.75,7.45,3.95,4.85,2.4,3.5,1.55,2.7,1.3,2.1,1.15,1.65,1.0,16121.15,16121.6,16116.0,16116.4,0
41,1657686360,71.6,18.18,65.05,51.5,45.1,36.3,29.85,25.05,18.85,16.8,11.3,11.05,6.7,7.45,3.9,4.9,2.4,3.5,1.5,2.65,1.2,2.05,1.1,1.65,0.95,16115.95,16117.55,16115.65,16116.4,0
42,1657686420,71.35,18.19,65.25,51.2,45.2,36.15,30.0,24.9,19.0,16.75,11.25,10.95,6.7,7.4,3.9,4.95,2.35,3.5,1.55,2.65,1.3,2.1,1.1,1.65,1.0,16116.5,16117.55,16114.3,16116.45,0
43,1657686480,69.85,18.19,66.2,50.05,45.85,35.25,30.55,24.3,19.25,16.2,11.5,10.7,6.85,7.2,3.95,4.85,2.4,3.45,1.55,2.65,1.3,2.05,1.15,1.6,1.05,16116.05,16122.7,16116.05,16121.7,0
44,1657686540,69.4,18.19,66.65,49.85,46.4,35.0,30.85,24.0,19.45,16.15,11.65,10.65,6.9,7.15,4.0,4.8,2.45,3.4,1.5,2.65,1.2,2.0,1.15,1.6,1.0,16121.95,16122.25,16119.85,16121.45,0
45,1657686600,69.3,18.19,67.0,49.45,46.55,34.8,31.0,23.95,19.55,16.05,11.75,10.6,6.9,7.1,4.0,4.8,2.45,3.5,1.55,2.65,1.2,2.1,1.1,1.65,1.05,16121.45,16124.8,16121.45,16124.75,0
46,1657686660,70.6,18.19,65.0,50.3,45.0,34.95,29.7,24.15,18.7,16.1,11.25,10.55,6.65,7.2,3.85,4.75,2.4,3.5,1.55,2.7,1.25,2.1,1.1,1.65,1.0,16124.6,16124.6,16119.7,16120.05,0
47,1657686720,72.1,18.17,63.15,51.2,43.7,35.95,28.85,24.7,18.15,16.45,10.85,10.85,6.5,7.2,3.75,4.75,2.3,3.45,1.5,2.65,1.2,2.1,1.1,1.65,0.95,16120.25,16120.6,16115.75,16116.35,0
