,epoch,PE_16100,vix_close,CE_16150,PE_16050,CE_16200,PE_16000,CE_16250,PE_15950,CE_16300,PE_15900,CE_16350,PE_15850,CE_16400,PE_15800,CE_16450,PE_15750,CE_16500,PE_15700,CE_16550,PE_15650,CE_16600,PE_15600,CE_16650,PE_15550,CE_16700,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume
21,1657512360,110.6,19.12,106.35,89.95,83.6,72.6,63.6,57.6,47.15,45.5,34.4,35.8,24.65,27.85,17.45,21.6,12.05,16.7,8.1,12.65,5.6,9.8,4.05,7.55,3.1,16124.2,16137.1,16123.75,16136.75,0
22,1657512420,111.25,19.13,106.5,91.0,83.8,73.0,63.95,58.45,47.55,46.1,34.6,36.5,24.8,28.4,17.5,22.15,12.1,17.1,8.2,13.0,5.7,10.05,4.0,7.7,3.15,16137.1,16137.65,16131.1,16135.85,0
23,1657512480,117.1,19.14,101.8,95.65,79.8,77.2,60.95,61.4,45.0,48.9,32.7,38.4,23.6,29.9,16.6,23.25,11.6,17.85,7.8,13.6,5.4,10.6,3.9,7.95,3.05,16135.95,16135.95,16123.65,16123.85,0
24,1657512540,116.1,19.12,102.7,95.1,80.6,76.55,61.8,61.05,45.8,48.5,33.5,38.35,24.15,29.9,16.95,23.05,11.7,17.95,7.9,13.55,5.5,10.65,3.85,8.05,3.0,16123.1,16124.55,16115.5,16124.05,0
25,1657512600,111.1,19.11,106.7,90.65,83.7,73.05,64.15,58.2,47.7,45.85,34.85,36.6,25.05,28.1,17.65,22.15,12.2,16.95,8.15,12.95,5.65,10.05,4.05,7.65,3.05,16124.3,16135.4,16123.8,16135.4,0
26,1657512660,110.75,19.14,107.8,90.45,84.55,72.9,64.65,58.0,48.2,46.0,35.05,36.2,25.2,28.3,17.9,22.0,12.5,17.05,8.4,12.95,5.75,10.05,4.1,7.6,3.1,16134.9,16140.2,16133.65,16139.0,0
27,1657512720,109.2,19.1,109.3,88.9,86.15,71.6,66.0,56.95,49.05,45.0,35.9,35.5,25.95,27.55,18.3,21.45,12.8,16.5,8.6,12.55,5.95,9.7,4.25,7.35,3.2,16138.45,16147.65,16138.45,16145.15,0
28,1657512780,109.75,19.1,109.45,89.55,85.95,72.2,65.95,57.5,49.1,45.4,35.9,35.9,25.9,27.95,18.25,21.9,12.6,16.75,8.55,12.9,5.9,9.85,4.2,7.45,3.15,16145.1,16151.4,16141.95,16142.85,0
29,1657512840,105.45,19.05,113.9,85.8,89.75,69.05,69.2,55.25,51.65,43.85,37.65,34.65,27.2,26.95,19.15,21.0,13.25,16.25,8.9,12.35,6.15,9.6,4.25,7.3,3.2,16142.85,16159.4,16142.85,16155.0,0
30,1657512900,102.95,19.04,115.75,83.8,91.9,67.5,70.9,53.95,52.9,42.75,38.7,33.65,28.1,26.25,19.75,20.3,13.65,15.6,9.05,11.95,6.2,9.25,4.3,7.0,3.1,16153.9,16167.05,16153.9,16161.05,0
